0,1,2,3,4,5,6
12.0,14.0,67.0,747.188,538.0,0.0,0.0
12.0,1.0,1.0,447.0,81.0,0.0,0.0
12.0,23.0,73.0,651.375,171.0,0.0,0.0
12.0,11.0,74.0,1259.06,95.0,0.0,0.0
12.0,11.0,77.0,245.812,121.0,0.0,0.0
3.0,8.0,32.0,129.0,486.0,0.0,0.0
3.0,32.0,141.0,1396.5,4952.0,0.0,0.0
3.0,40.0,190.0,1091.06,183.0,0.0,0.0
3.0,35.0,6.0,341.812,1303.0,0.0,0.0
3.0,35.0,8.0,194.062,6757.0,0.0,0.0
3.0,9.0,32.0,192.188,445.0,0.0,0.0
3.0,41.0,190.0,225.0,462.0,0.0,0.0
19.0,1.0,11.0,1342.12,104.0,0.0,0.0
19.0,1.0,12.0,47.4375,156.0,0.0,0.0
19.0,3.0,16.0,105.0,380.0,0.0,0.0
19.0,3.0,19.0,179.812,98.0,0.0,0.0
19.0,3.0,20.0,153.938,93.0,0.0,0.0
19.0,7.0,20.0,359.438,103.0,0.0,0.0
19.0,7.0,26.0,396.375,98.0,0.0,0.0
19.0,7.0,31.0,292.125,116.0,0.0,0.0
19.0,9.0,22.0,365.625,92.0,0.0,0.0
19.0,9.0,23.0,319.125,122.0,0.0,0.0
19.0,11.0,26.0,433.688,121.0,0.0,0.0
19.0,1.0,16.0,423.938,323.0,0.0,0.0
19.0,1.0,17.0,301.5,114.0,0.0,0.0
19.0,1.0,19.0,733.688,219.0,0.0,0.0
19.0,3.0,27.0,66.9375,106.0,0.0,0.0
19.0,9.0,24.0,295.875,93.0,0.0,0.0
19.0,9.0,25.0,1038.56,156.0,0.0,0.0
19.0,9.0,27.0,1037.25,88.0,0.0,0.0
19.0,9.0,33.0,392.25,116.0,0.0,0.0
19.0,9.0,34.0,608.062,282.0,0.0,0.0
19.0,9.0,35.0,131.438,546.0,0.0,0.0
19.0,9.0,36.0,184.875,951.0,0.0,0.0
19.0,9.0,37.0,73.6875,877.0,0.0,0.0
19.0,9.0,39.0,421.688,116.0,0.0,0.0
19.0,13.0,43.0,410.812,171.0,0.0,0.0
19.0,21.0,58.0,553.312,270.0,0.0,0.0
19.0,21.0,61.0,538.5,248.0,0.0,0.0
19.0,21.0,65.0,523.688,264.0,0.0,0.0
19.0,21.0,67.0,530.812,256.0,0.0,0.0
19.0,23.0,63.0,546.562,198.0,0.0,0.0
19.0,5.0,36.0,323.438,308.0,0.0,0.0
19.0,5.0,37.0,145.125,6276.0,0.0,0.0
19.0,5.0,38.0,157.5,6482.0,0.0,0.0
19.0,5.0,39.0,145.5,2211.0,0.0,0.0
19.0,5.0,40.0,163.312,1688.0,0.0,0.0
19.0,5.0,41.0,150.0,2477.0,0.0,0.0
19.0,5.0,42.0,159.562,970.0,0.0,0.0
19.0,7.0,40.0,143.812,3835.0,0.0,0.0
19.0,7.0,41.0,156.562,8996.0,0.0,0.0
19.0,7.0,42.0,140.625,6587.0,0.0,0.0
19.0,7.0,43.0,150.188,5598.0,0.0,0.0
19.0,7.0,44.0,118.5,15456.0,0.0,0.0
19.0,7.0,45.0,150.562,4447.0,0.0,0.0
19.0,7.0,46.0,183.0,1491.0,0.0,0.0
19.0,7.0,47.0,144.75,539.0,0.0,0.0
19.0,9.0,41.0,420.75,96.0,0.0,0.0
19.0,9.0,42.0,343.5,85.0,0.0,0.0
19.0,9.0,45.0,354.562,94.0,0.0,0.0
19.0,13.0,49.0,436.125,195.0,0.0,0.0
