,nRt,nRA,nLt,nLA
0,7.4658,1765.0,314.995,1187.0
1,56.4321,229.0,29.2446,229.0
2,,,315.33099999999996,1524.0
3,176.41299999999998,912.0,118.1,874.0
4,536.995,428.0,61.4754,1161.0
5,146.20600000000002,1279.0,,
6,,,5.61001,2059.0
7,48.7254,1216.0,,
10,59.9658,1016.0,83.0571,857.0
11,334.663,537.0,96.1821,1057.0
12,131.442,462.0,45.5475,466.0
13,68.5603,354.0,94.1388,336.0
14,27.5475,8851.0,68.7495,493.0
15,154.062,743.0,124.1,481.0
16,135.18200000000002,480.0,162.124,499.0
17,624.562,88.0,1664.25,123.0
18,11.2446,927.0,139.692,976.0
19,721.125,189.0,32.2446,908.0
20,199.812,763.0,10.9306,1090.0
21,247.125,87.0,309.35,1077.0
22,42.4995,748.0,43.4754,959.0
23,269.807,353.0,159.923,146.0
24,22.6917,345.0,100.40700000000001,344.0
25,163.653,179.0,22.6917,345.0
26,307.86,158.0,207.528,376.0
27,236.235,1299.0,199.812,763.0
28,661.8789999999999,172.0,247.125,87.0
29,523.682,283.0,661.8789999999999,172.0
30,260.038,1607.0,192.188,445.0
31,114.745,1164.0,59.9658,1016.0
32,206.05700000000002,497.0,260.038,1607.0
33,16.1004,1454.0,114.745,1164.0
34,20.4321,1257.0,206.05700000000002,497.0
35,233.80700000000002,1909.0,20.4321,1257.0
36,23.7687,2002.0,1455.94,114.0
37,42.9129,1618.0,268.87,1790.0
38,472.12,1082.0,159.379,1543.0
39,178.87,2104.0,224.62,1878.0
40,235.68200000000002,668.0,178.87,2104.0
41,210.37,2566.0,333.93199999999996,1540.0
42,126.706,422.0,81.7446,709.0
43,143.245,395.0,0.5571119999999999,587.0
44,7.869610000000001,301.0,126.706,422.0
45,1800.94,401.0,143.245,395.0
46,119.206,295.0,7.869610000000001,301.0
47,105.15299999999999,796.0,1800.94,401.0
48,72.9321,765.0,119.206,295.0
49,112.68799999999999,440.0,205.12,562.0
50,188.03799999999998,857.0,303.37,157.0
51,65.8071,753.0,112.68799999999999,440.0
52,78.5475,681.0,188.03799999999998,857.0
53,174.144,548.0,65.8071,753.0
54,187.46599999999998,899.0,78.5475,681.0
55,56.5908,771.0,174.144,548.0
56,61.1196,881.0,187.46599999999998,899.0
57,4.67251,1157.0,233.80700000000002,1909.0
58,606.182,275.0,200.048,1242.0
59,0.922508,1064.0,308.995,1878.0
60,22.1196,1834.0,267.932,1276.0
61,23.0571,1819.0,22.1196,1834.0
62,,,282.745,651.0
63,267.35,986.0,,
64,44.7687,976.0,59.235,2702.0
65,132.55700000000002,2002.0,267.35,986.0
66,191.21599999999998,5427.0,,
67,317.985,830.0,230.975,2254.0
68,1536.19,14812.0,68.4225,1172.0
69,122.995,726.0,107.04799999999999,248.0
70,7.307110000000001,449.0,167.995,282.0
71,177.173,231.0,122.995,726.0
72,10.4658,328.0,7.307110000000001,449.0
73,506.225,107.0,177.173,231.0
74,16.6725,186.0,10.4658,328.0
75,172.673,3256.0,1859.81,1301.0
76,167.995,2357.0,39.1725,2797.0
77,1494.94,95.0,172.673,3256.0
78,695.057,239.0,167.995,2357.0
79,140.995,2046.0,1494.94,95.0
80,167.21599999999998,2009.0,695.057,239.0
81,121.27799999999999,2169.0,140.995,2046.0
82,,,198.55700000000002,1434.0
83,65.7975,1206.0,5.80711,1335.0
84,244.269,780.0,268.259,437.0
85,851.807,175.0,121.27799999999999,2169.0
86,183.36,1232.0,496.12,879.0
87,,,576.36,280.0
88,174.91299999999998,419.0,506.225,107.0
89,52.3167,3018.0,174.91299999999998,419.0
90,153.91299999999998,508.0,28.3071,237.0
91,98.7975,100.0,52.3167,3018.0
92,722.25,318.0,153.91299999999998,508.0
93,135.93200000000002,374.0,98.7975,100.0
94,1915.88,165.0,1384.5,110.0
95,,,1916.81,146.0
97,277.307,1862.0,195.706,813.0
98,267.33099999999996,678.0,-5.4813,1439.0
99,228.13400000000001,579.0,267.923,1282.0
100,1758.75,816.0,1072.69,103.0
101,168.18200000000002,3330.0,34.6725,2314.0
102,52.8504,1122.0,1758.75,816.0
103,356.975,238.0,168.18200000000002,3330.0
104,187.475,872.0,236.985,1663.0
105,1243.5,13591.0,115.682,1915.0
106,,,1243.5,13591.0
107,192.37,1562.0,247.86,1349.0
108,338.6,391.0,1842.19,180.0
109,77.25,244.0,,
110,313.298,1373.0,,
112,256.12,995.0,1878.38,122.0
113,391.288,402.0,192.37,1562.0
114,1842.19,122.0,391.288,402.0
115,43.86,1484.0,137.03799999999998,884.0
116,70.6821,2337.0,1842.19,122.0
117,187.66299999999998,1198.0,43.86,1484.0
118,35.25,153.0,77.25,244.0
119,90.9129,1074.0,64.4466,658.0
120,288.173,797.0,35.25,153.0
121,75.1629,2559.0,48.1725,1211.0
122,1075.88,81.0,421.68199999999996,486.0
123,59.3841,1012.0,163.87,1176.0
124,104.6,1186.0,1075.88,81.0
125,250.485,566.0,647.61,146.0
126,1121.44,120.0,13.6629,1635.0
127,6.744610000000001,2641.0,250.485,566.0
128,91.86,1853.0,1121.44,120.0
129,228.93200000000002,874.0,6.744610000000001,2641.0
130,34.6821,1518.0,37.1292,2847.0
131,297.36,876.0,415.86,381.0
132,581.235,239.0,313.298,1373.0
133,1841.81,210.0,297.36,876.0
134,103.822,722.0,581.235,239.0
135,292.475,777.0,1841.81,210.0
136,883.475,188.0,103.822,722.0
137,247.85,794.0,292.475,777.0
138,67.6725,1361.0,883.475,188.0
139,423.75,99.0,247.85,794.0
140,11.6196,2691.0,67.6725,1361.0
141,184.66299999999998,1701.0,92.4225,1721.0
142,191.43200000000002,1783.0,79.3071,2091.0
143,167.245,957.0,126.745,1771.0
144,318.932,215.0,114.182,227.0
145,60.5571,239.0,310.653,238.0
146,641.975,113.0,60.5571,239.0
147,47.7783,214.0,152.43200000000002,378.0
148,23.7975,509.0,73.8792,394.0
149,273.725,262.0,45.5571,307.0
150,99.735,1113.0,23.1181,581.0
151,152.62,161.0,148.298,334.0
152,21.5187,255.0,175.298,155.0
153,122.79799999999999,149.0,152.62,161.0
154,385.288,350.0,169.84099999999998,1064.0
155,114.557,1060.0,146.20600000000002,1279.0
156,36.5187,1762.0,37.3071,991.0
157,36.735,372.0,27.9321,372.0
158,142.30700000000002,245.0,36.735,372.0
159,70.4946,375.0,191.05700000000002,403.0
160,329.995,233.0,142.30700000000002,245.0
161,4.2783,429.0,70.4946,375.0
162,77.6196,766.0,149.43200000000002,956.0
163,15.5571,374.0,122.79799999999999,149.0
164,192.55700000000002,296.0,34.1196,352.0
165,160.85,173.0,15.5571,374.0
166,158.442,1425.0,7.6437,352.0
167,198.725,298.0,329.995,233.0
168,69.735,358.0,4.2783,429.0
169,50.6004,496.0,198.725,298.0
170,102.764,375.0,50.6004,496.0
171,138.567,402.0,107.01899999999999,313.0
172,192.91299999999998,237.0,102.764,375.0
173,100.84100000000001,651.0,3.7446099999999998,345.0
174,110.995,1006.0,155.769,166.0
175,1653.75,209.0,36.1821,1092.0
176,144.55700000000002,1093.0,77.6196,766.0
177,7.119610000000001,608.0,1653.75,209.0
178,1773.56,1252.0,144.55700000000002,1093.0
179,21.7062,387.0,7.119610000000001,608.0
180,5.7783,743.0,1773.56,1252.0
181,62.0571,1182.0,21.7062,387.0
182,137.05700000000002,690.0,5.7783,743.0
183,,,219.697,895.0
184,692.61,129.0,772.831,122.0
185,269.985,282.0,158.442,1425.0
186,200.80700000000002,305.0,692.61,129.0
187,73.8408,1011.0,172.673,762.0
188,80.6196,1630.0,29.9754,612.0
189,145.485,693.0,73.8408,1011.0
190,26.0475,325.0,80.6196,1630.0
191,154.1,1068.0,145.485,693.0
192,149.43200000000002,956.0,26.0475,325.0
193,63.5379,2793.0,,
194,1890.75,5635.0,1925.81,4050.0
195,170.05700000000002,2020.0,63.5379,2793.0
196,79.7431,776.0,78.9033,1255.0
197,56.4321,229.0,29.2446,229.0
198,27.5475,8851.0,68.7495,493.0
199,154.062,743.0,124.1,481.0
200,721.125,189.0,32.2446,908.0
201,141.53799999999998,375.0,31.11,1062.0
202,143.41299999999998,256.0,721.125,189.0
203,38.235,274.0,141.53799999999998,375.0
204,32.0571,800.0,143.41299999999998,256.0
205,280.485,324.0,38.235,274.0
206,37.8504,691.0,32.0571,800.0
207,205.12,562.0,280.485,324.0
208,56.5908,771.0,174.144,548.0
209,61.1196,881.0,187.46599999999998,899.0
210,1893.0,7144.0,-0.389992,2371.0
211,288.528,1289.0,1896.38,2915.0
212,518.423,1812.0,1893.0,7144.0
213,101.96600000000001,1425.0,288.528,1289.0
214,278.432,2147.0,518.423,1812.0
215,,,366.36,526.0
216,16.1196,654.0,64.6917,583.0
217,57.8056,1058.0,132.93200000000002,1456.0
218,157.66299999999998,318.0,,
219,97.2879,520.0,,
220,100.40700000000001,344.0,160.11,180.0
221,75.9225,603.0,133.447,399.0
222,3.3696099999999998,407.0,145.30700000000002,585.0
223,1.67251,578.0,111.725,666.0
224,267.499,224.0,1.67251,578.0
225,161.20600000000002,677.0,75.9225,603.0
226,153.91299999999998,508.0,28.3071,237.0
227,98.7975,100.0,52.3167,3018.0
228,722.25,318.0,153.91299999999998,508.0
229,135.93200000000002,374.0,98.7975,100.0
230,17.8071,410.0,326.384,220.0
231,161.798,250.0,17.8071,410.0
232,119.807,333.0,125.61,291.0
233,153.93200000000002,630.0,7.4754,315.0
234,292.307,208.0,153.93200000000002,630.0
235,191.62,528.0,181.87900000000002,586.0
236,139.08100000000002,631.0,244.269,780.0
237,150.745,2264.0,10.5042,1196.0
238,336.538,541.0,68.985,2014.0
239,97.6725,1546.0,56.625,159.0
240,532.312,1399.0,277.307,1862.0
241,25.8504,1299.0,97.6725,1546.0
242,168.93200000000002,2396.0,532.312,1399.0
243,55.4946,156.0,135.93200000000002,374.0
244,112.86,298.0,75.0042,272.0
245,45.1437,254.0,55.4946,156.0
246,,,112.86,298.0
247,190.12,297.0,75.9225,346.0
248,16.1196,654.0,64.6917,583.0
249,173.235,504.0,190.12,297.0
250,169.081,537.0,16.1196,654.0
251,679.688,656.0,173.235,504.0
252,,,169.081,537.0
253,36.1629,1715.0,466.1,321.0
254,26.2446,1515.0,336.538,541.0
255,60.5571,239.0,310.653,238.0
256,114.182,2154.0,,
257,73.8792,394.0,54.5379,241.0
258,36.7446,506.0,162.764,286.0
259,23.7975,509.0,73.8792,394.0
260,21.7254,384.0,36.7446,506.0
261,66.687,232.0,23.7975,509.0
262,108.745,345.0,21.7254,384.0
263,29.0667,329.0,66.687,232.0
264,37.485,1659.0,73.4946,1825.0
265,90.9225,1017.0,88.8696,2137.0
266,219.71599999999998,2158.0,92.4321,1817.0
267,70.86,1648.0,715.312,88.0
268,124.67299999999999,1749.0,70.86,1648.0
269,147.93200000000002,1528.0,9.36961,2431.0
270,212.235,842.0,236.62,797.0
271,100.65299999999999,1475.0,203.62,1748.0
272,123.932,2392.0,687.188,109.0
273,140.245,1134.0,100.65299999999999,1475.0
274,633.37,369.0,123.932,2392.0
275,106.495,1896.0,181.46599999999998,1829.0
276,181.68200000000002,2673.0,,
277,738.557,221.0,186.55700000000002,1579.0
278,153.173,684.0,207.36,1286.0
279,1285.12,489.0,,
280,102.764,375.0,50.6004,496.0
281,138.567,402.0,107.01899999999999,313.0
282,192.91299999999998,237.0,102.764,375.0
283,255.942,941.0,,
284,42.1725,467.0,68.6004,541.0
285,8.5812,667.0,42.1725,467.0
286,56.0475,693.0,157.85,899.0
287,159.567,1739.0,56.0475,693.0
288,78.0042,3939.0,436.87,1584.0
289,132.33100000000002,586.0,252.014,1000.0
290,2.8071099999999998,2071.0,94.6245,1358.0
291,78.735,1285.0,79.6437,1038.0
292,730.312,235.0,2.8071099999999998,2071.0
293,478.85,771.0,78.735,1285.0
294,317.788,754.0,730.312,235.0
295,40.8696,953.0,478.85,771.0
296,,,35.7687,1072.0
297,289.298,137.0,0.912904,442.0
298,,,289.298,137.0
299,104.44200000000001,450.0,62.2446,407.0
300,46.3071,328.0,327.163,237.0
301,49.485,539.0,104.44200000000001,450.0
302,178.081,421.0,46.3071,328.0
303,365.43199999999996,159.0,49.485,539.0
304,,,178.081,421.0
305,319.504,83.0,38.0379,1043.0
306,24.3696,525.0,184.1,392.0
307,166.12,248.0,24.3696,525.0
308,36.7254,1119.0,317.788,754.0
309,181.485,1813.0,40.8696,953.0
310,229.475,893.0,55.6629,935.0
311,101.06700000000001,1918.0,24.1725,1404.0
312,579.903,107.0,121.67299999999999,1923.0
313,69.3888,1750.0,816.75,377.0
314,420.923,306.0,186.16299999999998,1534.0
315,21.5187,255.0,175.298,155.0
316,122.79799999999999,149.0,152.62,161.0
317,251.03799999999998,1060.0,111.17299999999999,2168.0
318,36.735,372.0,27.9321,372.0
319,191.05700000000002,403.0,32.2254,140.0
320,13.8696,1340.0,231.55700000000002,2376.0
321,122.62,1662.0,184.456,1484.0
322,15.5571,374.0,122.79799999999999,149.0
323,56.4321,229.0,29.2446,229.0
324,97.2879,520.0,,
325,178.30700000000002,381.0,97.2879,520.0
326,159.903,682.0,49.3071,2297.0
327,3.1821099999999998,534.0,,
328,31.1196,463.0,12.36,415.0
329,17.6196,653.0,3.1821099999999998,534.0
330,143.245,1091.0,245.985,805.0
331,142.86,1560.0,,
332,68.5603,354.0,94.1388,336.0
333,100.40700000000001,344.0,160.11,180.0
334,245.868,306.0,129.18200000000002,359.0
335,154.181,279.0,134.778,476.0
336,83.6806,284.0,245.868,306.0
337,8.680589999999999,396.0,154.181,279.0
338,182.868,152.0,83.6806,284.0
339,207.75400000000002,331.0,8.680589999999999,396.0
340,108.618,590.0,170.985,704.0
341,252.173,1083.0,146.61,724.0
342,1587.38,129.0,152.423,1497.0
343,175.278,2155.0,128.225,1408.0
344,27.5475,8851.0,68.7495,493.0
345,124.1,481.0,57.1228,467.0
346,154.062,743.0,124.1,481.0
347,64.2495,546.0,64.1004,378.0
348,-3.9332800000000003,731.0,64.2495,546.0
349,359.43800000000005,103.0,,
350,68.0571,1021.0,139.673,1816.0
351,721.125,189.0,32.2446,908.0
352,,,183.764,1231.0
353,118.67299999999999,1589.0,,
354,309.35,1077.0,118.67299999999999,1589.0
355,247.125,87.0,309.35,1077.0
356,275.373,1537.0,259.091,1655.0
357,3.5571099999999998,269.0,125.413,190.0
358,207.519,137.0,17.61,469.0
359,3.92251,601.0,15.3696,707.0
360,13.6821,330.0,95.2446,341.0
361,236.235,1299.0,199.812,763.0
362,661.8789999999999,172.0,247.125,87.0
363,154.87,500.0,523.682,283.0
364,196.85,1055.0,1103.62,18857.0
365,7.869610000000001,301.0,126.706,422.0
366,105.15299999999999,796.0,1800.94,401.0
367,15.9417,666.0,43.11,934.0
368,0.922508,1064.0,308.995,1878.0
369,233.21599999999998,937.0,189.745,1732.0
370,199.30700000000002,2152.0,1807.5,1761.0
371,55.4946,3515.0,195.745,2259.0
372,107.04799999999999,248.0,3.5571099999999998,269.0
373,167.995,282.0,207.519,137.0
374,122.995,726.0,107.04799999999999,248.0
375,7.307110000000001,449.0,167.995,282.0
376,506.225,107.0,177.173,231.0
377,16.6725,186.0,10.4658,328.0
378,161.20600000000002,677.0,75.9225,603.0
379,122.956,486.0,15.9417,666.0
380,42.7446,1987.0,161.20600000000002,677.0
381,167.995,2357.0,39.1725,2797.0
382,695.057,239.0,167.995,2357.0
383,156.55700000000002,1057.0,233.21599999999998,937.0
384,65.7975,1206.0,5.80711,1335.0
385,622.85,114.0,156.55700000000002,1057.0
386,10.5042,1196.0,126.37,1269.0
387,155.995,465.0,124.475,502.0
388,153.93200000000002,630.0,7.4754,315.0
389,150.745,2264.0,10.5042,1196.0
390,120.735,1661.0,139.08100000000002,631.0
391,277.307,1862.0,195.706,813.0
392,55.4946,156.0,135.93200000000002,374.0
393,112.86,298.0,75.0042,272.0
394,169.081,537.0,16.1196,654.0
395,679.688,656.0,173.235,504.0
396,,,169.081,537.0
